                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8235,                 3.7312,                 5.2572,                 1.6849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.5354,                 2.8537,                 5.9468,                 1.8283,                  1e-05,                  1e-05,                  1e-05
                      2,                 2.0137,                 3.5432,                 5.8535,                 1.7647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4923,                 2.7152,                 5.8723,                 1.7547,             2.9901e-05,             2.9901e-05,             2.9901e-05
                      3,                 1.7399,                 3.4835,                 5.1724,                 1.6032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  1.438,                 2.7323,                 5.6929,                 1.7247,              4.967e-05,              4.967e-05,              4.967e-05
                      4,                 1.5191,                 2.2128,                 5.9225,                 1.6901,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3897,                 3.0356,                   5.56,                 1.6745,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      5,                 1.5807,                 2.9246,                 5.2285,                 1.5399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.4147,                 3.0887,                 5.4872,                 1.6207,             8.8812e-05,             8.8812e-05,             8.8812e-05
                      6,                 1.8345,                 3.0708,                 5.1325,                 1.6597,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3656,                  2.899,                 5.3638,                 1.5899,             0.00010818,             0.00010818,             0.00010818
                      7,                 1.3797,                 2.1118,                 5.3266,                 1.4391,                0.00089,                    0.1,                0.02003,                0.00601,                0.00089,                    0.1,                0.02003,                0.00401,                 1.4322,                 2.8065,                 5.2411,                 1.5172,             0.00012743,             0.00012743,             0.00012743
                      8,                 1.6289,                 2.7245,                 5.2327,                 1.5493,                0.00078,                    0.1,                 0.0992,                0.03968,                0.00078,                    0.1,                 0.0992,                0.02976,                 1.3557,                  2.676,                 5.1675,                 1.4879,             0.00014653,             0.00014653,             0.00014653
                      9,                  1.355,                 2.3811,                 4.2707,                 1.3355,                 0.0008,                    0.1,                 0.0992,                0.03968,                 0.0008,                    0.1,                 0.0992,                0.02976,                  1.365,                 2.5502,                 5.0813,                 1.4728,             0.00016551,             0.00016551,             0.00016551
                     10,                 1.5876,                 2.1372,                 4.7057,                 1.4473,                0.00163,                    0.2,                0.10065,                0.03997,                0.00163,                    0.2,                0.10065,                0.03997,                 1.3705,                 2.3507,                 4.9741,                 1.4532,             0.00018436,             0.00018436,             0.00018436
                     11,                 1.5365,                  2.541,                 4.7987,                 1.3426,                0.00159,                    0.2,                0.10567,                0.04367,                0.00159,                    0.2,                0.10567,                0.03345,                 1.3332,                 2.2037,                 4.9953,                 1.3556,             0.00020307,             0.00020307,             0.00020307
                     12,                  1.337,                  2.312,                 4.1465,                 1.2636,                0.00159,                    0.2,                 0.0995,                0.04978,                0.00159,                    0.2,                 0.0995,                0.04978,                  1.255,                 2.0145,                 5.0109,                 1.2729,             0.00022165,             0.00022165,             0.00022165
                     13,                 1.7178,                  2.185,                 4.6345,                 1.4122,                0.00161,                    0.2,                0.13267,                0.07792,                0.00276,                    0.4,                0.13512,                0.07816,                 1.1653,                 1.9329,                 4.9954,                 1.2245,              0.0002401,              0.0002401,              0.0002401
                     14,                 1.4581,                 2.2405,                 3.9045,                 1.2131,                0.00358,                    0.6,                0.14071,                0.07714,                0.00358,                    0.6,                0.14071,                0.07742,                 1.1379,                  1.926,                 4.9881,                 1.2107,             0.00025842,             0.00025842,             0.00025842
                     15,                 1.4658,                  1.859,                 4.0538,                 1.2128,                0.00358,                    0.6,                0.17536,                0.10681,                0.00358,                    0.6,                0.17536,                0.12379,                 1.1249,                  1.864,                 4.9757,                 1.1898,              0.0002766,              0.0002766,              0.0002766
                     16,                 1.2887,                 1.8778,                 4.1522,                 1.2081,                0.00349,                    0.6,                0.21723,                 0.1128,                0.00349,                    0.6,                0.21723,                0.13707,                 1.1481,                 1.8891,                 4.8782,                 1.1564,             0.00029466,             0.00029466,             0.00029466
                     17,                 1.4814,                 2.1801,                 3.6278,                 1.2613,                0.00352,                    0.6,                 0.2227,                0.11475,                0.00397,                    0.8,                0.22563,                0.13999,                 1.1232,                 2.0005,                 4.9122,                 1.1526,             0.00031258,             0.00031258,             0.00031258
                     18,                 1.2521,                 1.8785,                 3.4452,                 1.0334,                 0.0037,                    0.6,                0.19027,                0.09985,                0.00418,                    0.8,                0.19296,                0.11969,                 1.1283,                 1.9204,                 4.9522,                 1.1621,             0.00033036,             0.00033036,             0.00033036
                     19,                 1.4561,                 1.6699,                 4.0072,                 1.3984,                0.00384,                    0.8,                 0.2735,                0.14168,                0.00384,                    0.8,                 0.2735,                0.15565,                 1.1261,                 1.8487,                 4.9089,                 1.1636,             0.00034802,             0.00034802,             0.00034802
                     20,                 1.5087,                 1.6727,                 3.3996,                 1.3062,                0.00383,                    0.8,                0.43996,                0.25455,                0.00383,                    0.8,                0.43996,                0.27963,                 1.1598,                 1.8447,                 4.9051,                 1.2099,             0.00036555,             0.00036555,             0.00036555
                     21,                 1.1987,                 1.7424,                 3.2749,                 1.1468,                0.00188,                    0.6,                0.40206,                0.24037,                 0.0038,                    0.8,                0.43049,                0.26352,                 1.2048,                 1.8675,                 4.8873,                 1.2518,             0.00038294,             0.00038294,             0.00038294
                     22,                 1.5849,                 2.0535,                 4.0496,                  1.365,                0.00194,                    0.6,                0.18676,                0.09262,                0.00194,                    0.6,                0.18676,                0.09938,                 1.2316,                 2.0111,                 4.9693,                 1.3025,              0.0004002,              0.0004002,              0.0004002
                     23,                 1.1086,                 1.4066,                 2.9928,                 1.1791,                0.00208,                    0.6,                0.15259,                0.07152,                0.00208,                    0.6,                0.15259,                 0.0849,                 1.3035,                 2.0332,                 4.9038,                 1.3111,             0.00041733,             0.00041733,             0.00041733
                     24,                 1.4173,                 1.6761,                 3.9107,                 1.2563,                0.00447,                    0.8,                0.17248,                0.08873,                0.00447,                    0.8,                0.18622,                0.09926,                 1.3434,                 2.1084,                 4.8199,                 1.3341,             0.00043433,             0.00043433,             0.00043433
                     25,                 1.1175,                 1.7186,                 3.4047,                 1.0998,                0.00397,                    0.6,                0.20189,                0.07054,                0.00397,                    0.6,                0.20525,                0.10295,                 1.3499,                 2.0936,                 4.8695,                 1.3409,             0.00045119,             0.00045119,             0.00045119
                     26,                 1.2787,                 2.0288,                 3.1093,                 1.1384,                0.00437,                    0.6,                0.25115,                0.08476,                0.00437,                    0.6,                 0.2574,                0.14444,                 1.3292,                 1.9618,                 4.7916,                 1.2708,             0.00046792,             0.00046792,             0.00046792
                     27,                 1.1559,                 1.5522,                  2.963,                 1.0823,                0.00402,                    0.4,                0.23217,                0.10776,                 0.0046,                    0.6,                0.23755,                0.14308,                 1.3135,                 1.9095,                 4.7251,                 1.3013,             0.00048453,             0.00048453,             0.00048453
                     28,                 1.4327,                 1.7211,                 3.3824,                  1.327,                0.00402,                    0.4,                0.23217,                0.10776,                 0.0046,                    0.6,                0.23755,                0.14308,                 1.3135,                 1.9095,                 4.7251,                 1.3013,               0.000501,               0.000501,               0.000501
                     29,                 1.1879,                  1.876,                 3.1561,                  1.142,                0.00571,                    0.8,                0.44775,                0.22552,                0.00571,                    0.8,                0.44775,                0.28523,                 1.3337,                  1.944,                 4.8894,                  1.326,             0.00051733,             0.00051733,             0.00051733
                     30,                 1.1704,                 1.4061,                 2.8297,                 1.1467,                0.00525,                    0.8,                 0.4773,                0.25465,                0.00525,                    0.8,                 0.4773,                0.29739,                 1.2943,                  2.128,                 4.6428,                 1.2826,             0.00053354,             0.00053354,             0.00053354
                     31,                 1.1377,                 1.1683,                 3.2798,                 1.2001,                0.00525,                    0.8,                 0.4773,                0.25465,                0.00525,                    0.8,                 0.4773,                0.29739,                 1.2943,                  2.128,                 4.6428,                 1.2826,             0.00054961,             0.00054961,             0.00054961
                     32,                 1.4095,                 2.4382,                 2.8302,                 1.3744,                0.00552,                    0.8,                0.30219,                0.17251,                0.00552,                    0.8,                0.36819,                0.23718,                 1.2382,                 2.4159,                 4.7381,                   1.31,             0.00056555,             0.00056555,             0.00056555
                     33,                 1.1339,                 1.4212,                  2.581,                 1.2178,                0.00431,                    0.6,                 0.0927,                0.05175,                0.00431,                    0.6,                 0.0927,                0.06216,                 1.1566,                 2.2028,                 4.8227,                 1.3044,             0.00058136,             0.00058136,             0.00058136
                     34,                 1.3226,                 1.7227,                 2.5768,                 1.1608,                0.00431,                    0.6,                 0.0927,                0.05175,                0.00431,                    0.6,                 0.0927,                0.06216,                 1.1566,                 2.2028,                 4.8227,                 1.3044,             0.00059704,             0.00059704,             0.00059704
                     35,                 1.2772,                  1.713,                 2.8661,                 1.1349,                 0.0028,                    0.4,                0.06249,                0.02387,                 0.0028,                    0.4,                0.14169,                 0.0361,                 1.0674,                 2.0503,                 4.7859,                 1.2611,             0.00061258,             0.00061258,             0.00061258
                     36,                 1.3565,                  1.644,                 2.8399,                 1.1543,                0.00472,                    0.6,                0.08055,                0.03623,                0.00472,                    0.6,                0.14655,                0.06864,                 1.0416,                 1.8701,                 4.6027,                 1.2463,             0.00062799,             0.00062799,             0.00062799
                     37,                 1.1698,                 2.0412,                 2.9935,                  1.165,                0.00472,                    0.6,                0.08055,                0.03623,                0.00472,                    0.6,                0.14655,                0.06864,                 1.0416,                 1.8701,                 4.6027,                 1.2463,             0.00064328,             0.00064328,             0.00064328
                     38,                 1.5789,                 1.9379,                 2.8697,                 1.4115,                0.00612,                    0.8,                0.38142,                0.27961,                0.00612,                    0.8,                0.45408,                0.26929,                0.99511,                 2.1192,                  4.529,                 1.2416,             0.00065843,             0.00065843,             0.00065843
                     39,                 1.2594,                 1.6515,                 2.4142,                 1.2225,                0.00536,                    0.7,                0.46397,                0.39767,                0.00536,                    0.7,                0.46397,                0.29821,                 1.0332,                 2.7737,                 4.5744,                 1.2597,             0.00067344,             0.00067344,             0.00067344
                     40,                 1.1503,                  2.045,                 2.6745,                  1.134,                0.00536,                    0.7,                0.46397,                0.39767,                0.00536,                    0.7,                0.46397,                0.29821,                 1.0332,                 2.7737,                 4.5744,                 1.2597,             0.00068833,             0.00068833,             0.00068833
                     41,                 1.1442,                 2.2916,                 2.9128,                 1.1927,                0.00561,                    0.8,                0.36921,                0.28921,                0.00505,                    0.7,                0.36448,                0.23855,                 1.0696,                  3.242,                 4.4983,                 1.2865,             0.00070308,             0.00070308,             0.00070308
                     42,                 1.2474,                 1.9031,                  2.714,                 1.2241,                0.00543,                    0.8,                0.34351,                0.28266,                0.00485,                    0.7,                0.32937,                0.18933,                 1.0912,                 3.9296,                 4.5428,                 1.2963,              0.0007177,              0.0007177,              0.0007177
                     43,                 1.2413,                 1.9615,                 2.9767,                 1.2829,                0.00543,                    0.8,                0.34351,                0.28266,                0.00485,                    0.7,                0.32937,                0.18933,                 1.0912,                 3.9296,                 4.5428,                 1.2963,             0.00073219,             0.00073219,             0.00073219
                     44,                 1.1772,                 1.6865,                 2.4241,                  1.126,                0.00544,                    0.8,                0.48075,                0.32165,                0.00544,                    0.8,                0.41458,                0.23381,                 1.1826,                 3.8354,                 4.5546,                 1.3659,             0.00074655,             0.00074655,             0.00074655
                     45,                 1.2257,                 1.6249,                 2.7775,                 1.0835,                0.00544,                    0.8,                0.48075,                0.32165,                0.00544,                    0.8,                0.41458,                0.23381,                 1.1826,                 3.8354,                 4.5546,                 1.3659,             0.00076077,             0.00076077,             0.00076077
                     46,                 1.0728,                 1.6108,                 2.4862,                 1.1466,                      1,                0.18247,                0.56383,                0.36644,                0.89218,                0.09218,                 0.4191,                0.29389,                  1.386,                 2.9141,                 4.3238,                 1.4452,             0.00077487,             0.00077487,             0.00077487
                     47,                 1.1493,                 1.6657,                 2.5852,                 1.1481,                      1,                0.18247,                0.56383,                0.36644,                0.89218,                0.09218,                 0.4191,                0.29389,                  1.386,                 2.9141,                 4.3238,                 1.4452,             0.00078883,             0.00078883,             0.00078883
                     48,                 1.2439,                 1.4543,                 2.4731,                  1.135,                0.00506,                    0.8,                  0.517,                0.33217,                0.00506,                    0.8,                  0.517,                0.31038,                 1.3172,                  2.597,                 4.2916,                 1.3862,             0.00080265,             0.00080265,             0.00080265
                     49,                 1.2212,                 1.5999,                 2.6246,                 1.0973,                0.00506,                    0.8,                  0.517,                0.33217,                0.00506,                    0.8,                  0.517,                0.31038,                 1.3172,                  2.597,                 4.2916,                 1.3862,             0.00081635,             0.00081635,             0.00081635
                     50,                0.98587,                 1.5118,                 2.5039,                 1.0618,                0.35318,                    0.8,                0.48888,                0.34073,                0.35318,                    0.8,                0.48888,                0.30194,                 1.1812,                 2.6101,                 4.0328,                 1.3264,             0.00082992,             0.00082992,             0.00082992
